accuracy,dataset,intr_dim,n_components,n_neighbors,n_of_classes,n_of_features,n_of_instances,silhouette,time
0.101,mnist,38,43,20,10,784,60000,0.043,615
0.192,mnist,38,43,50,10,784,60000,0.043,1180
0.765,mnist,38,44,2,10,784,60000,0.043,573
0.664,mnist,38,44,5,10,784,60000,0.043,308
0.103,mnist,38,44,10,10,784,60000,0.043,423
0.101,mnist,38,44,20,10,784,60000,0.043,625
0.097,mnist,38,44,50,10,784,60000,0.043,1212
0.766,mnist,38,45,2,10,784,60000,0.043,678
0.107,mnist,38,45,5,10,784,60000,0.043,316
0.117,mnist,38,45,10,10,784,60000,0.043,449
0.101,mnist,38,45,20,10,784,60000,0.043,648
0.103,mnist,38,45,50,10,784,60000,0.043,1232
0.799,mnist,38,46,2,10,784,60000,0.043,595
0.405,mnist,38,46,5,10,784,60000,0.043,311
0.101,mnist,38,46,10,10,784,60000,0.043,433
0.101,mnist,38,46,20,10,784,60000,0.043,659
0.103,mnist,38,46,50,10,784,60000,0.043,1223
0.822,mnist,38,47,2,10,784,60000,0.043,603
0.098,mnist,38,47,5,10,784,60000,0.043,325
0.103,mnist,38,47,10,10,784,60000,0.043,432
0.098,mnist,38,47,20,10,784,60000,0.043,655
0.114,mnist,38,47,50,10,784,60000,0.043,1254
0.752,mnist,38,48,2,10,784,60000,0.043,597
0.163,mnist,38,48,5,10,784,60000,0.043,327
0.121,mnist,38,48,10,10,784,60000,0.043,450
0.098,mnist,38,48,20,10,784,60000,0.043,665
0.097,mnist,38,48,50,10,784,60000,0.043,1285
0.807,mnist,38,49,2,10,784,60000,0.043,596
0.646,mnist,38,49,5,10,784,60000,0.043,332
0.096,mnist,38,49,10,10,784,60000,0.043,443
0.114,mnist,38,49,20,10,784,60000,0.043,688
0.114,mnist,38,49,50,10,784,60000,0.043,1263
0.797,mnist,38,50,2,10,784,60000,0.043,574
0.567,mnist,38,50,5,10,784,60000,0.043,346
0.101,mnist,38,50,10,10,784,60000,0.043,448
0.097,mnist,38,50,20,10,784,60000,0.043,674
0.114,mnist,38,50,50,10,784,60000,0.043,1302
0.791,mnist,38,51,2,10,784,60000,0.043,593
0.71,mnist,38,51,5,10,784,60000,0.043,353
0.098,mnist,38,51,10,10,784,60000,0.043,464
0.098,mnist,38,51,20,10,784,60000,0.043,707
0.098,mnist,38,51,50,10,784,60000,0.043,1376
0.801,mnist,38,52,2,10,784,60000,0.043,664
0.178,mnist,38,52,5,10,784,60000,0.043,342
0.101,mnist,38,52,10,10,784,60000,0.043,476
0.106,mnist,38,52,20,10,784,60000,0.043,696
0.114,mnist,38,52,50,10,784,60000,0.043,1333
0.819,mnist,38,53,2,10,784,60000,0.043,598
0.288,mnist,38,53,5,10,784,60000,0.043,342
0.101,mnist,38,53,10,10,784,60000,0.043,490
0.114,mnist,38,53,20,10,784,60000,0.043,718
0.114,mnist,38,53,50,10,784,60000,0.043,1398
0.726,mnist,38,54,2,10,784,60000,0.043,654
0.326,mnist,38,54,5,10,784,60000,0.043,353
0.098,mnist,38,54,10,10,784,60000,0.043,478
0.114,mnist,38,54,20,10,784,60000,0.043,709
0.098,mnist,38,54,50,10,784,60000,0.043,1377
0.806,mnist,38,55,2,10,784,60000,0.043,587
0.101,mnist,38,55,5,10,784,60000,0.043,323
0.098,mnist,38,55,10,10,784,60000,0.043,465
0.098,mnist,38,55,20,10,784,60000,0.043,728
0.098,mnist,38,55,50,10,784,60000,0.043,1405
0.811,mnist,38,56,2,10,784,60000,0.043,561
0.103,mnist,38,56,5,10,784,60000,0.043,340
0.098,mnist,38,56,10,10,784,60000,0.043,465
0.114,mnist,38,56,20,10,784,60000,0.043,733
0.103,mnist,38,56,50,10,784,60000,0.043,1421
0.809,mnist,38,57,2,10,784,60000,0.043,564
0.636,mnist,38,57,5,10,784,60000,0.043,350
0.196,mnist,38,57,10,10,784,60000,0.043,480
0.098,mnist,38,57,20,10,784,60000,0.043,731
0.096,mnist,38,57,50,10,784,60000,0.043,1435
0.818,mnist,38,58,2,10,784,60000,0.043,568
0.257,mnist,38,58,5,10,784,60000,0.043,360
0.103,mnist,38,58,10,10,784,60000,0.043,490
0.098,mnist,38,58,20,10,784,60000,0.043,758
0.101,mnist,38,58,50,10,784,60000,0.043,1511
0.765,mnist,38,59,2,10,784,60000,0.043,594
0.244,mnist,38,59,5,10,784,60000,0.043,372
0.103,mnist,38,59,10,10,784,60000,0.043,508
0.114,mnist,38,59,20,10,784,60000,0.043,806
0.101,mnist,38,59,50,10,784,60000,0.043,1526
0.795,mnist,38,60,2,10,784,60000,0.043,643
0.101,mnist,38,60,5,10,784,60000,0.043,384
0.098,mnist,38,60,10,10,784,60000,0.043,515
0.096,mnist,38,60,20,10,784,60000,0.043,807
0.097,mnist,38,60,50,10,784,60000,0.043,1506
0.767,mnist,38,61,2,10,784,60000,0.043,588
0.103,mnist,38,61,5,10,784,60000,0.043,346
0.097,mnist,38,61,10,10,784,60000,0.043,533
0.089,mnist,38,61,20,10,784,60000,0.043,786
0.096,mnist,38,61,50,10,784,60000,0.043,1512
0.809,mnist,38,62,2,10,784,60000,0.043,584
0.546,mnist,38,62,5,10,784,60000,0.043,394
0.096,mnist,38,62,10,10,784,60000,0.043,524
0.106,mnist,38,62,20,10,784,60000,0.043,824
0.103,mnist,38,62,50,10,784,60000,0.043,1565
0.807,mnist,38,63,2,10,784,60000,0.043,582
0.29,mnist,38,63,5,10,784,60000,0.043,400
0.103,mnist,38,63,10,10,784,60000,0.043,521
0.114,mnist,38,63,20,10,784,60000,0.043,796
0.096,mnist,38,63,50,10,784,60000,0.043,1547
0.824,mnist,38,64,2,10,784,60000,0.043,593
0.193,mnist,38,64,5,10,784,60000,0.043,407
0.096,mnist,38,64,10,10,784,60000,0.043,528
0.114,mnist,38,64,20,10,784,60000,0.043,828
0.098,mnist,38,64,50,10,784,60000,0.043,1603
0.835,mnist,38,65,2,10,784,60000,0.043,584
0.66,mnist,38,65,5,10,784,60000,0.043,399
0.103,mnist,38,65,10,10,784,60000,0.043,525
0.114,mnist,38,65,20,10,784,60000,0.043,893
0.098,mnist,38,65,50,10,784,60000,0.043,1631
0.81,mnist,38,66,2,10,784,60000,0.043,613
0.155,mnist,38,66,5,10,784,60000,0.043,412
0.184,mnist,38,66,10,10,784,60000,0.043,571
0.114,mnist,38,66,20,10,784,60000,0.043,831
0.114,mnist,38,66,50,10,784,60000,0.043,1640
0.831,mnist,38,67,2,10,784,60000,0.043,664
0.17,mnist,38,67,5,10,784,60000,0.043,422
0.114,mnist,38,67,10,10,784,60000,0.043,561
0.114,mnist,38,67,20,10,784,60000,0.043,823
0.098,mnist,38,67,50,10,784,60000,0.043,1719
0.793,mnist,38,68,2,10,784,60000,0.043,627
0.231,mnist,38,68,5,10,784,60000,0.043,421
0.114,mnist,38,68,10,10,784,60000,0.043,575
