accuracy,dataset,intr_dim,n_components,n_neighbors,n_of_classes,n_of_features,n_of_instances,silhouette,time
0.84,coil20,13,9,20,20,16384,1008,0.151,29
0.769,coil20,13,9,50,20,16384,1008,0.151,35
0.512,coil20,13,10,2,20,16384,1008,0.151,24
0.856,coil20,13,10,5,20,16384,1008,0.151,24
0.847,coil20,13,10,10,20,16384,1008,0.151,27
0.843,coil20,13,10,20,20,16384,1008,0.151,31
0.775,coil20,13,10,50,20,16384,1008,0.151,38
0.468,coil20,13,11,2,20,16384,1008,0.151,24
0.884,coil20,13,11,5,20,16384,1008,0.151,25
0.819,coil20,13,11,10,20,16384,1008,0.151,28
0.769,coil20,13,11,20,20,16384,1008,0.151,30
0.775,coil20,13,11,50,20,16384,1008,0.151,37
0.53,coil20,13,12,2,20,16384,1008,0.151,24
0.856,coil20,13,12,5,20,16384,1008,0.151,25
0.803,coil20,13,12,10,20,16384,1008,0.151,27
0.66,coil20,13,12,20,20,16384,1008,0.151,32
0.757,coil20,13,12,50,20,16384,1008,0.151,40
0.569,coil20,13,13,2,20,16384,1008,0.151,24
0.859,coil20,13,13,5,20,16384,1008,0.151,25
0.775,coil20,13,13,10,20,16384,1008,0.151,28
0.681,coil20,13,13,20,20,16384,1008,0.151,31
0.819,coil20,13,13,50,20,16384,1008,0.151,39
0.495,coil20,13,14,2,20,16384,1008,0.151,24
0.861,coil20,13,14,5,20,16384,1008,0.151,25
0.847,coil20,13,14,10,20,16384,1008,0.151,27
0.588,coil20,13,14,20,20,16384,1008,0.151,30
0.655,coil20,13,14,50,20,16384,1008,0.151,41
0.481,coil20,13,15,2,20,16384,1008,0.151,25
0.863,coil20,13,15,5,20,16384,1008,0.151,26
0.736,coil20,13,15,10,20,16384,1008,0.151,28
0.521,coil20,13,15,20,20,16384,1008,0.151,31
0.509,coil20,13,15,50,20,16384,1008,0.151,40
0.558,coil20,13,16,2,20,16384,1008,0.151,23
0.854,coil20,13,16,5,20,16384,1008,0.151,25
0.692,coil20,13,16,10,20,16384,1008,0.151,27
0.403,coil20,13,16,20,20,16384,1008,0.151,32
0.162,coil20,13,16,50,20,16384,1008,0.151,42
0.558,coil20,13,17,2,20,16384,1008,0.151,24
0.85,coil20,13,17,5,20,16384,1008,0.151,26
0.699,coil20,13,17,10,20,16384,1008,0.151,29
0.34,coil20,13,17,20,20,16384,1008,0.151,31
0.132,coil20,13,17,50,20,16384,1008,0.151,42
0.569,coil20,13,18,2,20,16384,1008,0.151,24
0.877,coil20,13,18,5,20,16384,1008,0.151,25
0.653,coil20,13,18,10,20,16384,1008,0.151,28
0.199,coil20,13,18,20,20,16384,1008,0.151,34
0.086,coil20,13,18,50,20,16384,1008,0.151,44
0.498,coil20,13,19,2,20,16384,1008,0.151,24
0.856,coil20,13,19,5,20,16384,1008,0.151,26
0.435,coil20,13,19,10,20,16384,1008,0.151,29
0.324,coil20,13,19,20,20,16384,1008,0.151,33
0.056,coil20,13,19,50,20,16384,1008,0.151,45
0.583,coil20,13,20,2,20,16384,1008,0.151,25
0.85,coil20,13,20,5,20,16384,1008,0.151,26
0.444,coil20,13,20,10,20,16384,1008,0.151,29
0.248,coil20,13,20,20,20,16384,1008,0.151,33
0.162,coil20,13,20,50,20,16384,1008,0.151,43
0.604,coil20,13,21,2,20,16384,1008,0.151,24
0.863,coil20,13,21,5,20,16384,1008,0.151,25
0.414,coil20,13,21,10,20,16384,1008,0.151,29
0.236,coil20,13,21,20,20,16384,1008,0.151,33
0.053,coil20,13,21,50,20,16384,1008,0.151,44
0.558,coil20,13,22,2,20,16384,1008,0.151,25
0.845,coil20,13,22,5,20,16384,1008,0.151,25
0.333,coil20,13,22,10,20,16384,1008,0.151,29
0.19,coil20,13,22,20,20,16384,1008,0.151,34
0.102,coil20,13,22,50,20,16384,1008,0.151,45
0.63,coil20,13,23,2,20,16384,1008,0.151,24
0.866,coil20,13,23,5,20,16384,1008,0.151,26
0.319,coil20,13,23,10,20,16384,1008,0.151,29
0.09,coil20,13,23,20,20,16384,1008,0.151,35
0.123,coil20,13,23,50,20,16384,1008,0.151,48
0.576,coil20,13,24,2,20,16384,1008,0.151,25
0.87,coil20,13,24,5,20,16384,1008,0.151,27
0.516,coil20,13,24,10,20,16384,1008,0.151,31
0.285,coil20,13,24,20,20,16384,1008,0.151,36
0.192,coil20,13,24,50,20,16384,1008,0.151,49
0.613,coil20,13,25,2,20,16384,1008,0.151,25
0.863,coil20,13,25,5,20,16384,1008,0.151,26
0.475,coil20,13,25,10,20,16384,1008,0.151,31
0.081,coil20,13,25,20,20,16384,1008,0.151,34
0.056,coil20,13,25,50,20,16384,1008,0.151,48
0.669,coil20,13,26,2,20,16384,1008,0.151,24
0.85,coil20,13,26,5,20,16384,1008,0.151,26
0.299,coil20,13,26,10,20,16384,1008,0.151,29
0.102,coil20,13,26,20,20,16384,1008,0.151,35
0.037,coil20,13,26,50,20,16384,1008,0.151,49
0.135,fashion_mnist,8,1,2,10,784,60000,0.047,443
0.465,fashion_mnist,8,1,5,10,784,60000,0.047,132
0.538,fashion_mnist,8,1,10,10,784,60000,0.047,160
0.505,fashion_mnist,8,1,20,10,784,60000,0.047,213
0.437,fashion_mnist,8,1,50,10,784,60000,0.047,337
0.604,fashion_mnist,8,2,2,10,784,60000,0.047,576
0.775,fashion_mnist,8,2,5,10,784,60000,0.047,129
0.771,fashion_mnist,8,2,10,10,784,60000,0.047,154
0.762,fashion_mnist,8,2,20,10,784,60000,0.047,217
0.755,fashion_mnist,8,2,50,10,784,60000,0.047,332
0.631,fashion_mnist,8,3,2,10,784,60000,0.047,455
0.8,fashion_mnist,8,3,5,10,784,60000,0.047,155
0.796,fashion_mnist,8,3,10,10,784,60000,0.047,195
0.787,fashion_mnist,8,3,20,10,784,60000,0.047,246
0.755,fashion_mnist,8,3,50,10,784,60000,0.047,415
0.612,fashion_mnist,8,4,2,10,784,60000,0.047,402
